expname,color,RNA_name,tailfile
MCC_WT_DMSO,#636363,U1,S04_U1-R1_tail.csv
MCC_WT_DMSO,#636363,U1,S04_U1-R2_tail.csv
MCC_WT_DMSO,#636363,U1,S04_U1-R3_tail.csv
MCC_WT_HL-1A,#2c7bb6,U1,S05_U1-R1_tail.csv
MCC_WT_HL-1A,#2c7bb6,U1,S05_U1-R2_tail.csv
MCC_WT_HL-1A,#2c7bb6,U1,S05_U1-R3_tail.csv
MCC_WT_HL-1B,#d7191c,U1,S06_U1-R1_tail.csv
MCC_WT_HL-1B,#d7191c,U1,S06_U1-R2_tail.csv
MCC_WT_HL-1B,#d7191c,U1,S06_U1-R3_tail.csv
MCC_WT_DMSO,#636363,U2,S04_U2-R1_tail.csv
MCC_WT_DMSO,#636363,U2,S04_U2-R2_tail.csv
MCC_WT_DMSO,#636363,U2,S04_U2-R3_tail.csv
MCC_WT_HL-1A,#2c7bb6,U2,S05_U2-R1_tail.csv
MCC_WT_HL-1A,#2c7bb6,U2,S05_U2-R2_tail.csv
MCC_WT_HL-1A,#2c7bb6,U2,S05_U2-R3_tail.csv
MCC_WT_HL-1B,#d7191c,U2,S06_U2-R1_tail.csv
MCC_WT_HL-1B,#d7191c,U2,S06_U2-R2_tail.csv
MCC_WT_HL-1B,#d7191c,U2,S06_U2-R3_tail.csv
MCC_WT_DMSO,#636363,U3,S04_U3-R1_tail.csv
MCC_WT_DMSO,#636363,U3,S04_U3-R2_tail.csv
MCC_WT_DMSO,#636363,U3,S04_U3-R3_tail.csv
MCC_WT_HL-1A,#2c7bb6,U3,S05_U3-R1_tail.csv
MCC_WT_HL-1A,#2c7bb6,U3,S05_U3-R2_tail.csv
MCC_WT_HL-1A,#2c7bb6,U3,S05_U3-R3_tail.csv
MCC_WT_HL-1B,#d7191c,U3,S06_U3-R1_tail.csv
MCC_WT_HL-1B,#d7191c,U3,S06_U3-R2_tail.csv
MCC_WT_HL-1B,#d7191c,U3,S06_U3-R3_tail.csv
MCC_WT_DMSO,#636363,U4,S04_U4-R1_tail.csv
MCC_WT_DMSO,#636363,U4,S04_U4-R2_tail.csv
MCC_WT_DMSO,#636363,U4,S04_U4-R3_tail.csv
MCC_WT_HL-1A,#2c7bb6,U4,S05_U4-R1_tail.csv
MCC_WT_HL-1A,#2c7bb6,U4,S05_U4-R2_tail.csv
MCC_WT_HL-1A,#2c7bb6,U4,S05_U4-R3_tail.csv
MCC_WT_HL-1B,#d7191c,U4,S06_U4-R1_tail.csv
MCC_WT_HL-1B,#d7191c,U4,S06_U4-R2_tail.csv
MCC_WT_HL-1B,#d7191c,U4,S06_U4-R3_tail.csv
MCC_WT_DMSO,#636363,U5,S04_U5-R1_tail.csv
MCC_WT_DMSO,#636363,U5,S04_U5-R2_tail.csv
MCC_WT_DMSO,#636363,U5,S04_U5-R3_tail.csv
MCC_WT_HL-1A,#2c7bb6,U5,S05_U5-R1_tail.csv
MCC_WT_HL-1A,#2c7bb6,U5,S05_U5-R2_tail.csv
MCC_WT_HL-1A,#2c7bb6,U5,S05_U5-R3_tail.csv
MCC_WT_HL-1B,#d7191c,U5,S06_U5-R1_tail.csv
MCC_WT_HL-1B,#d7191c,U5,S06_U5-R2_tail.csv
MCC_WT_HL-1B,#d7191c,U5,S06_U5-R3_tail.csv
