genename,endpos,geneid
U1,0,"ENSG00000206652, ENSG00000207005, ENSG00000207513, ENSG00000207389, ENSG00000206737, ENSG00000206596, ENSG00000206588"
U2,-3,"ENSG00000274585, ENSG00000222328"
U3,0,ENSG00000263934
U4,3,"ENSG00000200795, ENSG00000202538"
U5,0,"ENSG00000199568, ENSG00000200156, ENSG00000199347, ENSG00000199377, ENSG00000200169"
